time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,quote_close_usd,price_usd_equivalent,conversion_status,premium_pct
2021-11-22 05:52:18,WAVES/USD,BUY,21.99,6.50519506,143.04923936,WAVES,USD,2021-11-22,20.891,0.0,2.0,,21.99,native_usd,5.260638552486707
2021-11-22 05:54:04,WAVES/USD,BUY,21.99,0.95937693,21.09669869,WAVES,USD,2021-11-22,20.891,0.0,2.0,,21.99,native_usd,5.260638552486707
2021-12-01 14:10:04,WAVES/USD,SELL,22.97,0.32722089,7.51626384,WAVES,USD,2021-12-01,22.5939,0.0,2.0,,22.97,native_usd,1.6646085890439366
2021-12-01 14:12:10,WAVES/USD,SELL,22.97,2.06694345,47.47769104,WAVES,USD,2021-12-01,22.5939,0.0,2.0,,22.97,native_usd,1.6646085890439366
2021-12-01 14:22:51,WAVES/USD,SELL,22.97,5.07040765,116.46726372,WAVES,USD,2021-12-01,22.5939,0.0,2.0,,22.97,native_usd,1.6646085890439366
2021-12-04 06:16:35,WAVES/USD,BUY,20.0001,0.85718528,17.14379131,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:16:51,WAVES/USD,BUY,20.0001,0.53884223,10.77689848,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:16:53,WAVES/USD,BUY,20.0001,0.77821673,15.56441242,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:16:53,WAVES/USD,BUY,20.0001,3.03322105,60.66472432,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:16:55,WAVES/USD,BUY,20.0001,0.84176062,16.83529657,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:16:58,WAVES/USD,BUY,20.0001,0.57145967,11.42925054,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:17:02,WAVES/USD,BUY,20.0001,1.52162165,30.43258516,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2021-12-04 06:17:03,WAVES/USD,BUY,20.0001,0.39648722,7.92978404,WAVES,USD,2021-12-04,18.3467,0.0,2.0,,20.0001,native_usd,9.011974905568865
2022-03-09 13:48:25,WAVES/USD,SELL,26.99999999,8.53879445,230.54745006,WAVES,USD,2022-03-09,28.4125,0.0,2.0,,26.99999999,native_usd,-4.971403466783997
