time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,premium_pct
2017-01-27 11:50:42,GCC/BTC,SELL,1.64e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:32,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:27,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:23,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:20,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:14,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:11,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:49:09,GCC/BTC,SELL,1.69e-06,0.015,2e-08,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:48:41,GCC/BTC,BUY,1.35e-06,0.95527463,1.28e-06,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:48:30,GCC/BTC,BUY,1.35e-06,84.0,0.0001134,GCC,BTC,2017-01-27,,0.0,,
2017-01-27 11:45:33,IBANK/BTC,SELL,1.58e-06,72.8779088,0.00011514,IBANK,BTC,2017-01-27,,0.0,,
2017-01-26 23:13:54,PUTIN/BTC,BUY,1.272e-05,125.56326026,0.00159716,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 23:12:06,PUTIN/BTC,SELL,1.339e-05,78.32320545,0.00104874,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 23:12:06,PUTIN/BTC,SELL,1.339e-05,41.43415005,0.0005548,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 23:11:37,PUTIN/BTC,BUY,1.31e-05,119.7573555,0.00156882,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 23:10:58,PUTIN/BTC,SELL,1.359e-05,15.901046,0.00021609,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 23:10:58,PUTIN/BTC,SELL,1.359e-05,100.0,0.001359,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 22:59:22,PUTIN/BTC,BUY,1.58e-05,115.901046,0.00183123,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 22:58:05,PUTIN/BTC,SELL,1.634e-05,49.51845773,0.00080913,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 22:58:04,PUTIN/BTC,SELL,1.634e-05,63.0,0.00102942,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 22:56:07,PUTIN/BTC,BUY,1.591e-05,112.51845773,0.00179016,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 22:52:55,IBANK/BTC,SELL,1.35e-06,1331.3560042,0.00179733,IBANK,BTC,2017-01-26,,0.0,,
2017-01-26 17:38:19,BTC/USD,SELL,928.27999998,0.01004128,9.32111939,BTC,USD,2017-01-26,,0.0,,
2017-01-26 17:23:02,VIDZ/BTC,SELL,3.25e-06,3095.81771939,0.0100614,VIDZ,BTC,2017-01-26,,0.0,,
2017-01-26 17:21:26,VIDZ/BTC,BUY,3.1e-06,3095.81771939,0.00959703,VIDZ,BTC,2017-01-26,,0.0,,
2017-01-26 17:05:08,PUTIN/BTC,SELL,2.069e-05,457.70750683,0.00946996,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 17:05:06,PUTIN/BTC,SELL,2.069e-05,8.0,0.00016552,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 17:04:36,PUTIN/BTC,BUY,2.022e-05,365.70750683,0.0073946,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 17:04:29,PUTIN/BTC,BUY,2.022e-05,100.0,0.002022,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:49:46,PUTIN/BTC,SELL,2.054e-05,434.03417934,0.00891506,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:48:33,PUTIN/BTC,BUY,2.056e-05,434.03417934,0.00892374,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:45:18,PUTIN/BTC,SELL,2.015e-05,471.45683265,0.00949985,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:44:48,PUTIN/BTC,BUY,1.971e-05,471.45683265,0.00929241,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:41:57,PUTIN/BTC,SELL,1.989e-05,469.06233614,0.00932964,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:38:59,PUTIN/BTC,BUY,1.953e-05,469.06233614,0.00916078,PUTIN,BTC,2017-01-26,,0.0,,
2017-01-26 16:36:48,PUTIN/BTC,SELL,1.987e-05,462.88334272,0.00919749,PUTIN,BTC,2017-01-26,,0.0,,
